PrimaryKey,Filename,Quality,Piece,Composer,Performer,Instrument,License,Link,Chunks
86,"Symphony no. 45 in F sharp minor 'Farewell', Hob. I_45 - IV. Finale Presto Adagio.flac",High,"Symphony no. 45 in F sharp minor 'Farewell', Hob. I_45 - IV. Finale Presto Adagio",Haydn J.,European Archive,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/5432-symphony-no-45-in-f-sharp-minor-farewell-hob-i45/,134
87,"Symphony no. 45 in F sharp minor 'Farewell', Hob. I_45 - III. Minuet and trio.flac",High,"Symphony no. 45 in F sharp minor 'Farewell', Hob. I_45 - III. Minuet and trio",Haydn J.,European Archive,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/5432-symphony-no-45-in-f-sharp-minor-farewell-hob-i45/,217
88,"Symphony no. 45 in F sharp minor 'Farewell', Hob. I_45 - II. Adagio.flac",High,"Symphony no. 45 in F sharp minor 'Farewell', Hob. I_45 - II. Adagio",Haydn J.,European Archive,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/5432-symphony-no-45-in-f-sharp-minor-farewell-hob-i45/,190
89,"Symphony no. 45 in F sharp minor 'Farewell', Hob. I_45 - I. Allegro assai.flac",High,"Symphony no. 45 in F sharp minor 'Farewell', Hob. I_45 - I. Allegro assai",Haydn J.,European Archive,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/5432-symphony-no-45-in-f-sharp-minor-farewell-hob-i45/,208
90,"Symphony No. 1 in C Minor, Op. 68 - IV. Adagio - Più andante - Allegro non troppo, ma con brio.m4a",High,"Symphony No. 1 in C Minor, Op. 68 - IV. Adagio - Più andante - Allegro non troppo, ma con brio",Brahms J.,Musopen Symphony,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/64-symphony-no-1-in-c-minor-op-68/,301
91,"Symphony No. 1 in C Minor, Op. 68 - III. Un poco allegretto e grazioso.m4a",High,"Symphony No. 1 in C Minor, Op. 68 - III. Un poco allegretto e grazioso",Brahms J.,Musopen Symphony,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/64-symphony-no-1-in-c-minor-op-68/,93
92,"Symphony No. 1 in C Minor, Op. 68 - II. Andante sostenuto.m4a",High,"Symphony No. 1 in C Minor, Op. 68 - II. Andante sostenuto",Brahms J.,Musopen Symphony,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/64-symphony-no-1-in-c-minor-op-68/,151
93,"Symphony No. 1 in C Minor, Op. 68 - I. Un poco sostenuto - Allegro.m4a",High,"Symphony No. 1 in C Minor, Op. 68 - I. Un poco sostenuto - Allegro",Brahms J.,Musopen Symphony,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/64-symphony-no-1-in-c-minor-op-68/,299
94,"Orchestral Suite no. 2 in B minor, BWV 1067 - 1. Ouverture.flac",Mid,"Orchestral Suite no. 2 in B minor, BWV 1067 - 1. Ouverture",Bach J. S.,European Archive,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/3774-orchestral-suite-no-2-in-b-minor-bwv-1067/,158
95,"Orchestral Suite no. 2 in B minor, BWV 1067 - 2. Rondeau.flac",Mid,"Orchestral Suite no. 2 in B minor, BWV 1067 - 2. Rondeau",Bach J. S.,European Archive,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/3774-orchestral-suite-no-2-in-b-minor-bwv-1067/,59
